path,size_bytes,sha256,artifact_class,row_count
oaci/reports/C63_DYNAMIC_ESTIMATOR_NOTES.md,397,5059325c775b0e11123e64437b682ab34a67b1704bbbeb930f93a43fe860ae10,report,
oaci/reports/C63_DYNAMIC_INSTRUMENTATION_GATE.md,332,3e2064e882f9ff2e1fce2d8ccbc8803f5fe92bdc76c9e3e7701fe82651faf831,report,
oaci/reports/C63_RED_TEAM_VERIFICATION.md,1121,7e55dd02e51bec16265416afa98c2de252d74401751909a24d98d5c53ad26334,report,
oaci/reports/C63_TRAJECTORY_DYNAMIC_OBSERVABILITY.json,3505,1fabc68a6a51aeb1af100ec87c02acc87da672e29b3febabd907017f363946f9,summary_json,
oaci/reports/C63_TRAJECTORY_DYNAMIC_OBSERVABILITY.md,2343,105e0847172c7f54a21d6ddc5b3a8133c3cdb912ca06c02e16076cc11e82110e,report,
oaci/reports/c63_tables/dynamic_availability_ledger.csv,361,2d03978798107f9b802993596be67ee8ab102aea88006365d5e844ebdaf50811,table,5
oaci/reports/c63_tables/dynamic_cod_ladder_summary.csv,2159,8ea6a9d0aca4a7c8fea0d1ce7fbdfcfb8b8338e0d374fc86281c356a1f106a57,table,7
oaci/reports/c63_tables/dynamic_estimator_stress_summary.csv,2782,92b15f0da3da6c1024f1633872bf00b186551ac6dc1ee25a7a2e7cd71f44037f,table,24
oaci/reports/c63_tables/dynamic_instrumentation_gate.json,500,b0b329da89dcb5e28fee09e8a06abe577742f3aad65ff4297f3dfda7f4507e27,summary_json,
oaci/reports/c63_tables/dynamic_null_summary.csv,871,629887a0838b54cee02ec63cfcc69d116b71d80058f7be8d742aba913e7751aa,table,6
oaci/reports/c63_tables/dynamic_screening_off_summary.csv,751,c51f48bb145d2c6c81b79648ce913286a9e44a2bbf4de8f331322f7852748ce4,table,5
oaci/reports/c63_tables/dynamic_source_escape_hatch_audit.csv,796,a6ca33df2716979dec7e1a6d50b2379e78fa1642d7a5e4ad95127200d0813531,table,6
oaci/reports/c63_tables/dynamic_source_feature_inventory.csv,826,2f287cbb290861200becffed8ade000e371f53af797478be5abc1e22ca737bce,table,7
oaci/reports/c63_tables/dynamic_support_sensitivity.csv,2549,5b94c72015e7e52965b4ecc9514a56bfee245a946ec31bd120b333229a296de2,table,16
oaci/reports/c63_tables/forbidden_claim_scan.csv,876,421a598656a6f60274edc2416e902dabdfd8f100c8288ae6b26932664f5234b7,table,24
oaci/reports/c63_tables/hankel_window_support_summary.csv,627,66511c0cc416bd5e9772e14e5d75f70b2d15a3f51684f24c2a6eb2264bec4a0b,table,4
oaci/reports/c63_tables/missing_dynamic_fields.csv,571,09b5f70880e83bebb0b638e0e89a9f678df20e882ec627e98bc40734a555523f,table,5
oaci/reports/c63_tables/red_team_failure_ledger.csv,976,d9596d8f787d4dfbf08c28598b4446b9f4bb1b92d86e092f15492a9b1cec79b3,table,13
oaci/reports/c63_tables/schema_validation_summary.csv,829,e685593cd31f80319bfca22e994c74fe6d703a6e9ae35410dd52a8e34ebddb23,table,20
oaci/reports/c63_tables/synthetic_dynamic_cod_ladder.csv,3639,20b2770f07d7abad593c9b4dd38c801d1c83cd83564cb8d12e54d80430bc1adc,table,12
oaci/reports/c63_tables/synthetic_dynamic_rank_gauge_summary.csv,993,0f07a4e9429618b347cf18177eba3d62914ec7a26b770e6ca43010eb31b8f552,table,6
oaci/reports/c63_tables/test_command_manifest.csv,961,009bbf594adf9bc655a626dd9a1bc6cec43a051fea79aabe8b868845c66c378a,table,4
oaci/reports/c63_tables/trajectory_artifact_inventory.csv,832,74c2e22ed1138b9641cb332b88abcaf5f327e927762c2dd517499427984d3f20,table,5
oaci/reports/c63_tables/trajectory_failure_reason_update.csv,522,71e8f8474d95a87e8b19e2254638bfff6ad5cb7fe0fad5d6006578a0724b5c71,table,5
oaci/reports/c63_tables/trajectory_fragmentation_dynamic_ledger.csv,671,85c4ac60064013a49f264e782c9e0e2b46106e56e420e4a9c828f38571316c2a,table,6
oaci/reports/c63_tables/trajectory_sequence_schema.csv,714,bb26f375dddd2cca57f6e3c7198f707c1d1e93995aad23154fc3dddddb687bc3,table,7
