path,size_bytes,sha256,artifact_class,row_count
oaci/reports/C68_POWERED_TRIAL_CACHE_SCALEUP.json,3218,278c8274211f95fb2b0b66f9096b728738c4512ef0e5af662a0d63c1e1cbd832,summary_json,
oaci/reports/C68_POWERED_TRIAL_CACHE_SCALEUP.md,2221,04657a66e8bb4dd9a0427164e0002fc144c684ae529517466c647c3473d43bbc,report,
oaci/reports/C68_RED_TEAM_VERIFICATION.md,1475,bc4b2b92df7b31cf278347e7d109494b3b3f1407db2bfc9c08629748ebff22ce,report,
oaci/reports/c68_tables/c68_c67_replay_dual_mode_ledger.csv,752,55294c530499034e14ff38bc420b81391573aaae79650cf7eb0c807a58fe2c68,table,8
oaci/reports/c68_tables/c68_expected_cache_size.csv,339,2d5222ed9e6f347ad2972b5f607052c4fb8d73becd03ccbbb12aee119157d83f,table,4
oaci/reports/c68_tables/c68_frozen_universe_replay.csv,688,2de45baaa421e36b0b1e4f0df237e36f4e664a19b75653cc3d1bcd386afd4274,table,8
oaci/reports/c68_tables/c68_label_leakage_redteam.csv,423,d756b1bcd2c631d2dc341056344e62e5d81a01d55b41ef38178031aa0a3aef2f,table,5
oaci/reports/c68_tables/c68_masked_view_contract.csv,623,0fe9f24745495390007746ef93d37e4a2dc5400bba92c7c04183b35376e99961,table,5
oaci/reports/c68_tables/c68_noauth_execution_gate.csv,483,e6d4621a2511f0a38b545769543bf9f7fc76f932871c0f0b9b39200f7b221a9b,table,6
oaci/reports/c68_tables/c68_power_ladder.csv,598,07458dcba028e9d4ceaebc52dcc62c0dcdac14653a166fbc09a4a1e1af964e6e,table,4
oaci/reports/c68_tables/c68_sample_level_cs_availability_ledger.csv,221,3ff02aea7ab237f92510405570b64b965b508ff87ff5001596e21e687ac394c2,table,4
oaci/reports/c68_tables/c68_sample_level_cs_bandwidth_grid.csv,240,d1b27ca9973f53f421aa15c79b27782a20b23818fea1c61b415b3dc76d72a644,table,3
oaci/reports/c68_tables/c68_sample_level_cs_feasibility.csv,367,51bb0b3913a32ed41d360eb59f9d86ea3ff0a52b5c2acb27403bf3b4d72575dd,table,2
oaci/reports/c68_tables/c68_sample_level_cs_nulls.csv,247,395991d7ffaf599b65fdc464a07c2b69f2f8ab34bce791c3d9c41a003926b585,table,3
oaci/reports/c68_tables/c68_scaleup_sampling_plan.csv,10283,0c12fcabc8b4537712debdb7a76d815b3b5395a1bb9473bb2f7d019deabb0f38,table,58
oaci/reports/c68_tables/c68_source_observable_adversary_plan.csv,412,7bc5904f472e5a8ac3890f02d08dc71362c5f11b21e85feb922baf3b92494325,table,3
oaci/reports/c68_tables/c68_split_label_cell_ledger.csv,259,6db0fd40bdfaa18826d867906b815f4ff77e7c2342a583499925ec85ec682195,table,3
oaci/reports/c68_tables/c68_split_label_nulls.csv,201,bdf184f782cfb1738957e537c33ef121a4229ec64b9cde280a99dc4d55d71171,table,2
oaci/reports/c68_tables/c68_split_label_power_summary.csv,464,3acd1a174ca253e88d1657a16cdd3fc58f20e376fa6b748e5191137b063b7344,table,3
oaci/reports/c68_tables/c68_synthetic_cache_writer_dryrun.csv,273,ca87e16a4210f2a3c17d849918eae7467bcfba80583949a6c112cca1fb98b803,table,2
oaci/reports/c68_tables/c68_view_column_access_matrix.csv,889,ecc3598f2738129454b9daf2a370a0e42549f123cb2fe2f85e5af8dbe9427e17,table,8
oaci/reports/c68_tables/forbidden_claim_scan.csv,742,49b637e2b2e2c8f9afe1bf8facedecb268f1be897396a8297a5a9bc6489ce728,table,15
oaci/reports/c68_tables/red_team_failure_ledger.csv,974,d66897740b87aaeff729afccb0f595db3de89e1761eab9a10d302c0586988dca,table,13
oaci/reports/c68_tables/schema_validation_summary.csv,881,1f0d50aa88211ea1ec8086029ac320c9b1bcc96cec460ee716b005516f2f5420,table,22
oaci/reports/c68_tables/test_command_manifest.csv,541,37bd562f33e98798648e220af2ced99a6d229ec363d6b7d3c134f65497986c2e,table,4
