id,category,claim,report,commit,key_evidence
E1,established,"The tested source-only DG control objectives (OACI-control, SRC-control) do NOT transfer to reproducible target worst-domain improvements under strict target isolation.",C14_DG_FALSIFICATION_BATTERY / C8 / C12,8046929/7b38bee,C8 K1/K2 stop; C14 verdict falsified; C12 SRC anti-transfer
E2,established,"Target-accuracy-good OACI checkpoints EXIST but are invisible to simple source-audit selectors (source-side OBSERVABILITY failure), with a separate calibration barrier.",C16_TARGET_ORACLE_CEILING,38206d6,6/6 seed-levels reproducible bAcc gain via non-deployable target oracle; source-audit oracle fails
E3,established,Selected OACI is calibration-improved / accuracy-flat (class-boundary rotation); SRC anti-transfer is source memorization.,C16_HARM_DECOMPOSITION,0eedfee,"mean ΔNLL -0.074, ΔbAcc -0.002; SRC memorization index +1.965 (6/6 flagged)"
E4,established,No strong scalar source signal identifies target-good checkpoints; a WEAK multivariate source-only signal exists; class-boundary rotation is source-mirrored; source signals are calibration-biased.,C17_SOURCE_SIGNAL_IDENTIFIABILITY,a8af8c6,LOTO probe AUC 0.6023 beats perm p=0.008; best scalar |ρ|<=0.236; boundary corr +0.547
E5,established,"The weak multivariate signal SURVIVES cell-present support stress and collapses only under cell DELETION, and there because the worst-domain accuracy ENDPOINT becomes non-estimable (estimator-level), not because the signal vanished; leakage and class-boundary mirror are support-robust.",C18_CONTROLLED_SUPPORT_MISMATCH_STRESS,8046929,S2 0.603 / S3 0.562 beat perm; S4/S6/S7 bAcc->NaN; leakage estimability 1.0
E6,established,A PRE-REGISTERED low-freedom robust-core probe (deletion-robust source observables) recovers weak IN-REGIME competence information (config hash frozen before the run).,C19_SOURCE_ONLY_COMPETENCE_PROBE,0eebae5,robust-core LOTO 0.561 beats perm p=0.005 margin>=0.03 on S0/S2/S3; per-target 0.57-0.73
E7,established,Frozen cross-regime external/new-regime validation is NOT established: the C19 signal is largely REGIME-LOCAL. Apparent held-out passes do not survive robust interpretation.,C20_FROZEN_PROBE_NEW_REGIME_VALIDATION,7b38bee,cross-regime pooled AUC 0.50-0.54; Holm 2/4->0/4; Simpson-decoupled; S7 control > S6 treatment
D1,diagnostic_only,The C19/C20 competence probe is DIAGNOSTIC-ONLY: it emits no selector and makes no deployment claim.,C19/C20,0eebae5/7b38bee,no_selector_artifact gate = True in C19 and C20
D2,diagnostic_only,"Target-oracle labels and source-signal identifiability analyses are diagnostic-only, joined post hoc.",C16/C17,38206d6,diagnostic_only_non_deployable=True throughout
N1,not_established,No deployable target-free selector / competence detector is established (diagnostic-only; no-selector gate).,C19/C20,7b38bee,no-selector gate; C20 external validation not established
N2,not_established,External / new-regime dataset generalization of the probe is NOT established.,C20,7b38bee,cross-regime pooled near chance; Holm 0/4
N3,not_established,Support mismatch as a NATURAL cause in BNCI2014_001 is NOT demonstrated (masks are controlled).,C17/C18,a8af8c6,controlled masks only; BNCI001 not shown naturally support-mismatched
N4,not_established,"We do NOT make blanket over-claims (all-DG-failure, EEG-transfer-impossibility, or support-aware-invariance worthlessness); the falsification is protocol-scoped (single dataset / single backbone).",C14/C18,8046929,single dataset/backbone; falsification is protocol-scoped
F1,future_work,Score CALIBRATION / a target-free competence ESTIMAND that transports cross-regime: within-target ranking appears stable (~0.64) and suggests a future score-calibration question.,C20,7b38bee,within-target mean AUC ~0.63-0.65 stable; pooled does not transport
F2,future_work,"External-dataset validation on a genuinely new cohort, via a pre-registered protocol (C20-B) -> C21+ execution ONLY after approval. BNCI2014_004 remains BARRED.",C20_EXTERNAL_DATASET_PROTOCOL,89b8a6a,protocol only; no execution; BNCI2014_004 BARRED_pending_explicit_approval
F3,future_work,"Real support-mismatched clinical EEG validation (hierarchical D=(cohort,subject)) is future work.",C17/SCPS,a8af8c6,PD/SCZ cohorts not provisioned; clinical loader offline-only
