path,size_bytes,sha256,artifact_class,row_count
oaci/reports/C73_ATTRIBUTION_ROBUSTNESS_INSTRUMENTATION_GATE.json,7211,b75a73101e63e686ccef3809a26f5f444ad5982d7d69797a78e25901e1bf60d6,report,
oaci/reports/C73_ATTRIBUTION_ROBUSTNESS_INSTRUMENTATION_GATE.md,6477,fcedc7947602fdd0b6b369398b7963216a4f1ff85df0c12e7dbcf65cccdb6bb4,report,
oaci/reports/C73_ATTRIBUTION_ROBUSTNESS_PROTOCOL.json,13654,482fc0cf485e51f2892a42210a71a1394232eb950d6d9df19dc1e48ba541e912,protocol,
oaci/reports/C73_ATTRIBUTION_ROBUSTNESS_PROTOCOL.sha256,65,94e9b5c5eb1848a8c3999972947d4ec576047ff6e292e27cb56c6bc63f004a7b,protocol,
oaci/reports/C73_PROTOCOL_TIMING_AUDIT.md,536,8f7a605ff57d4cf7d49aed739bd0cd12147ab0c999f7e49cff9c26498558d7f8,protocol,
oaci/reports/C73_RED_TEAM_VERIFICATION.md,2577,49f413d3a95107f3db146e09856ab27f4cf24209b23f6181ccd46ad47d6cb57a,report,
oaci/reports/C73_THEORY_NOTE.md,2913,374722912989853b5388df6f9229f05da4d4664e6f1d44377ea4888a7fefebf3,report,
oaci/reports/c73_tables/alpha_zero_local_geometry.csv,691,8a49d91551116773e8f00251390730430fb54b64da7b0811196dcde494f10e3f,table,9
oaci/reports/c73_tables/attribution_bootstrap_intervals.csv,3545,86703fcc8fc3507a2f21ef2999c035181434e452489c8ec559c8c4e2b6c14818,table,30
oaci/reports/c73_tables/attribution_endpoint_sensitivity.csv,3656,243e626974e8b6bc1fb4fb055513f78e47688929571c644e9e23603cc06c0a11,table,30
oaci/reports/c73_tables/attribution_leave_target_out.csv,3692,412c21327678cd23fc9c90879f2e8372d10d79ba6adaf65cc8dee4ee4ed2a838,table,45
oaci/reports/c73_tables/attribution_leave_trajectory_out.csv,15935,87a3ea1cfc975230c0de919c7f1c8034d470903b54d11e950b6d9db20d884ef0,table,270
oaci/reports/c73_tables/attribution_order_sensitivity.csv,280476,bf59fead50ceca2ca0ba51267d4b000f981f0252fc828f6da8a119dda0dc087e,table,3600
